inx,Tarih,Kimden,Kime,GercekKime,Mesaj,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,2018-10-06 13:35:50.850000,Ercan,Offline,Offline,Offline,1,,,,,,
2,2020-01-10 12:22:31.160000,emine.kuscu,Offline,Offline,Offline,2,,,,,,
3,2020-01-10 12:31:51.517000,emine.kuscu,Offline,Offline,Offline,3,,,,,,
4,2021-02-16 09:43:55.463000,murat.gider,Offline,Offline,Offline,4,,,,,,
5,2021-03-22 15:37:30.643000,murat.gider,Offline,Offline,Offline,5,,,,,,
6,2021-03-29 08:18:26.233000,murat.gider,Offline,Offline,Offline,6,,,,,,
7,2021-08-17 13:58:42.467000,murat.gider,Offline,Offline,Offline,7,,,,,,
8,2024-03-12 13:48:42.750000,guray,Offline,Offline,Offline,8,Guray,2024-03-12 13:48:42.750000,KGShop,,,
