BelgeNo,Tip,YansimaTip,CariKod,FaturaNo,FatTar,FisNo,Location,Yaz,notu,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,Vade,OdemeVade,AdresAdi,CariMuhKod,CariMM,MuhFisNo,iptal,insUN,insDT,updUN,updDT,Faturasiz,FSeri,TaxExemptionReasonCode,EF_Muafiyet,LastUpdate,LastCalculate,NeedCalculate,kgid,insApp,updApp
3,A,+,320.02.009,2020000000011,2020-02-11 15:03:40,470,CA001,0,,01,,,,,,0E-10,,320.02.009,,757,,nursal.dereboyu,2020-03-16 15:12:24.567000,Orbital,2020-11-22 16:57:09.563000,,GIB,,,1900-01-01 00:00:00,2022-02-14 00:47:45.300000,0,3,,
5,S,+,11122,,2025-04-09 02:38:44,34061,CA001,0,,,,,,,,0E-10,,100.01.003,,0,,Samet,2025-04-09 02:38:59,Samet,2025-04-09 02:38:59.373000,,,,,2025-04-09 02:38:59.090000,2025-04-09 02:38:59.350000,0,5,KGShop,KGShop
6,S,-,11122,,2025-04-09 02:39:52,34062,CA001,0,,,,,,,,0E-10,,100.01.003,,0,,Samet,2025-04-09 02:40:06.957000,Samet,2025-04-09 02:40:07.377000,,,,,2025-04-09 02:40:07.043000,2025-04-09 02:40:07.357000,0,6,KGShop,KGShop
7,A,+,11122,2020000000012,2025-04-09 02:41:21,34063,CA001,0,,,,,,,,0E-10,,100.01.003,,0,,Samet,2025-04-09 02:41:40.910000,Samet,2025-04-09 02:41:42.960000,,,,,2025-04-09 02:41:41.040000,2025-04-09 02:41:42.087000,0,7,KGShop,KGShop
