Modul,FisTip,FisNo,FisHarinx,SKod,RKod,Asorti,TmpMiktar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
s,g,4875,35647,121282,9333,R823,0E-10,35,Samet,2023-11-22 16:15:00.357000,,,,
s,g,4875,35648,119253,1684,R826,0E-10,36,Samet,2023-11-22 16:15:00.357000,,,,
s,g,4875,35649,119254,1684,Ö781,0E-10,37,Samet,2023-11-22 16:15:00.357000,,,,
s,g,4875,35650,119251,1684,R826,0E-10,38,Samet,2023-11-22 16:15:00.357000,,,,
s,g,4875,35651,116456,1684,R826,0E-10,39,Samet,2023-11-22 16:15:00.357000,,,,
s,g,4875,35652,121217,9293,T149,0E-10,40,Samet,2023-11-22 16:15:00.357000,,,,
s,g,4875,35653,121218,1684,T149,0E-10,41,Samet,2023-11-22 16:15:00.357000,,,,
