ID,FisTip,FisNo,FisHarinx,SKod,RKod,BedKod,Merkez,Lokasyon,RafKod,Raf_D_ID,Toplandi,Paketlendi,MerkezPaketlendi,DT,ToplandiDT,PaketlendiDT,MerkezPaketlendiDT,Toplayan,Paketleyen,MerkezPaketleyen,MerkezPaket,SatisKanali,SatisMiktar,SatisMiktarLokasyon,Tekli,Seq,Kargolandi,Kargolayan,KargolandiDT,Mikroihracat,PaketChecked,PaketCheckedUN,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,0,5122,37006,100009,2136,159,,CA001,D2 K01 R01,,False,False,False,2024-11-26 22:26:29.493000,,,,,,,False,,1,1,True,1,False,,,False,False,,1,Samet,2024-11-26 22:26:29.510000,KGWMSManager,Samet,2024-11-26 22:26:29.513000,KGWMSManager
2,0,5121,37005,100009,2136,159,,CA001,D1 K01 R01,,False,False,False,2024-11-26 22:26:29.493000,,,,,,,False,,1,1,True,1,False,,,False,False,,2,Samet,2024-11-26 22:26:29.510000,KGWMSManager,Samet,2024-11-26 22:26:29.513000,KGWMSManager
